way_id,name,operator,gauge,electrified,maxspeed,usage,service,highspeed,line,ref
35883177,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,140,main,,,,R1;RG1
35883179,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,140,main,,,,R1;RG1
35883180,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,140,main,,,,R1;RG1
35899074,FFCC Cerbère - Barcelona,Adif,1668,contact_line,155,main,,,,R2Nord;R11
35899078,FFCC Cerbère - Barcelona,Adif,1668,contact_line,155,main,,,,R2Nord;R11
35899079,FFCC Cerbère - Barcelona,Adif,1668,contact_line,155,main,,,,R2Nord;R11
35899080,FFCC Cerbère - Barcelona,Adif,1668,contact_line,145,main,,,,R2Nord;R11
35899081,FFCC Cerbère - Barcelona,Adif,1668,contact_line,145,main,,,,R2Nord;R11
38918633,Túnel d'Aragó,Adif,1668,contact_line,70,main,,,,R2;R2N;R11
38962085,Túnel de Meridiana,Adif,1668,contact_line,60,main,,,,R3;R4
38962088,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,120,main,,,,R1;R4;R7
38962089,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,70,main,,,,R1;R3;R4;RG1
38973611,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,100,main,,,,R8
38973612,FFCC Castellbisbal - Mollet,Adif,1668,contact_line,100,main,,,,R8
38975135,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
38975136,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,100,main,,,,R8
39094846,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,100,main,,,,R1;R4
40511737,FFCC Ramal Glòries,Adif,1668,contact_line,60,branch,,,,R2Sud;R13;R14;R15;R16
40511738,Túnel de Meridiana i Plaça Catalunya,Adif,1668,contact_line,60,main,,,,R1;R3;R4;RG1
40511740,Ramal de Glòries,Adif,1668,contact_line,40,branch,,,,R2S;R13;R14;R15;R16;R17
40750220,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
40750221,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
40754920,FFCC Cerbère - Barcelona,Adif,1668,contact_line,150,main,,,,R2Nord;R11
40754921,FFCC Cerbère - Barcelona,Adif,1668,contact_line,150,main,,,,R2Nord;R11
41131331,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
41131332,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
41132777,FFCC Cerbère - Barcelona,Adif,1668,contact_line,155,main,,,,R2Nord;R11
41133480,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
41235757,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
41284763,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,100,main,,,,R1;RG1
41284764,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,105,main,,,,R1;RG1
43114228,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
43114229,FFCC Cerbère - Barcelona,Adif,1668,contact_line,150,main,,,,R2Nord;R11
43131293,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
43131294,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
44216927,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,75,main,,,,R1;RG1
44216928,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,75,main,,,,R1;RG1
50312546,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
50312558,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
50316933,FFCC Castellbisbal - Mollet,Adif,1668,contact_line,105,main,,,,R8
50316934,FFCC Castellbisbal - Mollet,Adif,1668,contact_line,105,main,,,,R8
51264664,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
51300493,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,110,main,,,,270
51300495,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,80,main,,,,270
51300502,FFCC Cerbère - Barcelona,Adif,1668,contact_line,60,main,,,,270
51300505,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,270
51438167,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,140,main,,,,R1;RG1
51438171,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,120,main,,,,R1;RG1
52872560,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,80,main,,,,270
53030496,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
57831245,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
57831246,FFCC Cerbère - Barcelona,Adif,1668,contact_line,150,main,,,,R2Nord;R11
61293843,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
61293844,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
62041513,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,105,main,,,,270
62041523,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,85,main,,,,270
62041526,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,110,main,,,,270
62041528,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,110,main,,,,270
62041529,FFCC Cerbère - Barcelona,Adif,1668,contact_line,110,main,,,,270
62041532,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,110,main,,,,270
62041544,FFCC Cerbère - Barcelona,Adif,1668,contact_line,110,main,,,,270
62041545,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,110,main,,,,270
62041546,FFCC Cerbère - Barcelona,Adif,1668,contact_line,110,main,,,,270
62041549,FFCC Cerbère - Barcelona,Adif,1668,contact_line,110,main,,,,270
62041550,FFCC Cerbère - Barcelona,Adif,1668,contact_line,110,main,,,,270
62041554,FFCC Cerbère - Barcelona,Adif,1668,contact_line,110,main,,,,270
62041559,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,110,main,,,,270
62041562,FFCC Cerbère - Barcelona,Adif,1668,contact_line,80,main,,,,270
62045042,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,270
62045043,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
62045044,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,140,main,,,,270
62045047,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,140,main,,,,270
62045051,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
62045052,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,270
62045054,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,130,main,,,,270
62045059,FFCC Cerbère - Barcelona,Adif,1668,contact_line,105,main,,,,270
62045061,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,130,main,,,,270
62045063,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,130,main,,,,270
62045064,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,270
62045067,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,130,main,,,,270
62045075,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,270
62045076,FFCC Cerbère - Barcelona,Adif,1668,contact_line,60,main,,,,270
62083009,FFCC Cerbère - Barcelona,Adif,1668,contact_line,125,main,,,,270
62097428,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,130,main,,,,270
69314383,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,140,main,,,,R1;RG1
72543320,Pont de Colera,Adif,1668,contact_line,130,main,,,,270
72543345,FFCC Cerbère - Barcelona,Adif,1668,contact_line,95,main,,,,270
74405703,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
74405718,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,R2Nord;R11
75446625,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,110,main,,,,R1;RG1
75446627,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,85,main,,,,R1;RG1
75672867,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,110,main,,,,R1;RG1
75672874,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,110,main,,,,R1;RG1
82172531,FFCC Cerbère - Barcelona,Adif,1668,contact_line,95,main,,,,270
82172532,FFCC Cerbère - Barcelona,Adif,1668,contact_line,95,main,,,,270
83135821,,Adif,1668,contact_line,30,branch,,,,
83135822,,Adif,1668,,50,branch,,,,
83201336,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
83201337,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,75,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
84515035,FFCC Figueres-Vilafant - Vilamalla,Adif,1435;1668,contact_line,,main,,,,260
90571428,FFCC Figueres-Vilafant - Vilamalla,Adif,1435;1668,contact_line,,main,,,,260
91789990,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
91789997,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,75,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
91790002,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
91790004,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,55,main,,,,R2;R2Nord;R2Sud;R11;R13;R14;R15;R16
91790071,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
91790078,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,160,main,,,,R2;R2Sud;R13;R14;R15;R16
91790082,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,160,main,,,,R2;R2Sud;R13;R14;R15;R16
91790099,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,160,main,,,,R2;R2Sud;R13;R14;R15;R16
95461972,FFCC Cerbère - Barcelona,Adif,1668,contact_line,155,main,,,,R2Nord;R11
